wcs_click_date_sk,wcs_click_time_sk,wcs_sales_sk,wcs_item_sk,wcs_web_page_sk,wcs_user_sk
38569,4250,,7840,18,
38569,85106,,11130,18,
38569,52655,,3716,18,
38569,70934,,13243,18,
38569,40166,,5389,18,
38570,73271,,3331,18,
38570,24651,,10049,18,
38570,23805,,921,18,
38570,66458,,4407,18,
38570,65912,,11494,18,
38570,80073,,1833,18,
38570,9522,,17636,18,
38570,22779,,9063,18,
38570,43276,,8696,18,
38570,18021,,3231,18,
38570,37963,,17050,18,
38570,49125,,9044,18,
38570,69824,,3255,18,
38570,10028,,1355,18,
38570,6749,,16880,18,
38570,11109,,8200,18,
38570,26098,,8862,18,
38570,67236,,322,18,
38570,73267,,16552,18,
38570,13880,,8774,18,
38570,6876,,8901,18,
38571,7522,,6096,18,
38571,68166,,4562,18,
38571,46447,,10029,18,
38571,73196,,4953,18,
38571,11100,,7955,18,
38571,43257,,5902,18,
38571,30485,,17700,18,
38571,74897,,9614,18,
38571,70216,,11894,18,
38571,78084,,16521,18,
38571,78060,,14707,18,
38571,38882,,197,18,
38571,45785,,1238,18,
38571,34447,,15758,18,
38572,6785,,14458,18,
38572,54768,,656,18,
38572,52120,,3976,18,
38572,9755,,12483,18,
38572,22885,,5818,18,
38572,71948,,17455,18,
38572,40789,,14944,18,
38572,32523,,12935,18,
38572,3987,,6591,18,
38572,70836,,7604,18,
38572,37252,,7716,18,
38572,7251,,12287,18,
38572,13776,,1215,18,
38572,21272,,3965,18,
38573,5542,,4934,18,
38573,42940,,1222,18,
38573,86380,,4466,18,
38573,63611,,14164,18,
38573,78273,,17345,18,
38573,28306,,12573,18,
38573,40781,,15144,18,
38573,14237,,10141,18,
38573,37348,,9041,18,
38573,68988,,2593,18,
38573,65047,,267,18,
38573,84512,,806,18,
38573,71987,,3436,18,
38573,40063,,7593,18,
38573,16101,,11291,18,
38573,64439,,15939,18,
38573,78635,,785,18,
38573,81811,,14581,18,
38573,68243,,7937,18,
38573,9201,,12472,18,
38573,57819,,2620,18,
38573,52961,,11203,18,
38573,8482,,15404,18,
38573,32887,,11922,18,
38573,7094,,14820,18,
38573,79728,,12718,18,
38573,72771,,15878,18,
38573,38611,,4694,18,
38573,30542,,10161,18,
38573,83641,,3764,18,
38573,25807,,12884,18,
38574,3941,,15752,18,
38574,19108,,11883,18,
38574,33942,,10788,18,
38574,69711,,3763,18,
38574,72428,,4126,18,
38574,551,,14683,18,
38574,81306,,16240,18,
38574,25350,,9416,18,
38574,6203,,14814,18,
38574,58724,,14706,18,
38574,1506,,15654,18,
38574,47787,,3823,18,
38574,13383,,9789,18,
38574,85322,,16246,18,
38574,48614,,7037,18,
38574,34654,,15814,18,
38574,30336,,7678,18,
38574,26695,,14729,18,
38574,12275,,12145,18,
38574,56898,,11745,18,
38575,42608,,3114,18,
38575,47488,,8060,18,
38575,26214,,17150,18,
38575,45588,,13126,18,
38575,31045,,14711,18,
38575,10941,,14717,18,
38575,26668,,11525,18,
38575,63025,,12964,18,
38575,26264,,4925,18,
38575,64929,,13618,18,
38575,41552,,11210,18,
38575,3466,,3841,18,
38575,23178,,9323,18,
38575,71201,,13210,18,
38575,60590,,4562,18,
38575,1265,,17123,18,
38575,64935,,12085,18,
38575,77088,,1044,18,
38575,3848,,2132,18,
38575,5468,,1690,18,
38575,35399,,9772,18,
38576,45921,,11459,18,
38576,14505,,14933,18,
38576,47469,,14196,18,
38576,81085,,13953,18,
38576,13505,,5400,18,
38576,72264,,2468,18,
38576,22781,,6807,18,
38576,32914,,12777,18,
38576,83295,,1347,18,
38576,7895,,2218,18,
38576,23964,,12063,18,
38576,57349,,8984,18,
38576,71762,,1062,18,
38576,60590,,1503,18,
38576,38714,,1969,18,
38576,67355,,11850,18,
38576,74178,,4570,18,
38576,62682,,12434,18,
38576,52673,,9934,18,
38576,6508,,8621,18,
38576,24839,,5319,18,
38576,44285,,15069,18,
38576,37848,,10352,18,
38576,45200,,14083,18,
38576,66998,,4483,18,
38576,67849,,7235,18,
38577,12949,,14421,18,
38577,46725,,3486,18,
38577,40291,,5470,18,
38577,28390,,7865,18,
38577,52150,,4449,18,
38577,23827,,4545,18,
38577,39919,,6824,18,
38577,71175,,3414,18,
38577,57788,,7440,18,
38577,25113,,14131,18,
38577,49503,,14947,18,
38577,47827,,14703,18,
38577,35895,,15551,18,
38577,6009,,7026,18,
38577,71294,,14609,18,
38577,82471,,3202,18,
38577,45245,,2351,18,
38577,22174,,6224,18,
38577,38891,,17555,18,
38577,25725,,4498,18,
38577,6268,,10208,18,
38577,3237,,16050,18,
38577,80669,,16291,18,
38577,1824,,12462,18,
38577,15858,,14097,18,
38577,18149,,17380,18,
38577,46344,,6309,18,
38577,24420,,14210,18,
38577,6972,,15207,18,
38577,78632,,709,18,
38577,8548,,5498,18,
38577,1452,,2077,18,
38577,869,,3087,18,
38577,2009,,17360,18,
38577,66111,,11952,18,
38577,82801,,13014,18,
38578,30702,,1364,18,
38578,55011,,4608,18,
38578,492,,16704,18,
38578,32672,,5254,18,
38578,28393,,13034,18,
38578,77008,,10819,18,
38578,78656,,5748,18,
38578,51429,,17448,18,
38578,23476,,5390,18,
38578,53055,,13583,18,
38578,10458,,1095,18,
38578,18781,,14345,18,
38578,47396,,12463,18,
38578,25849,,323,18,
38578,39235,,13558,18,
38578,34733,,9033,18,
38578,30988,,945,18,
38578,26349,,1644,18,
38578,23363,,5502,18,
38578,21179,,13463,18,
38578,24534,,5550,18,
38578,32800,,8894,18,
38579,9542,,13822,18,
38579,35181,,8664,18,
38579,48362,,3992,18,
38579,41498,,10327,18,
38579,80695,,3208,18,
38579,13640,,6173,18,
38579,81205,,1219,18,
38579,4789,,1018,18,
38579,65427,,8260,18,
38579,41882,,7383,18,
38579,34653,,7273,18,
38579,56081,,10705,18,
38579,74611,,13268,18,
38579,30352,,5934,18,
38579,40293,,2274,18,
38579,9908,,11146,18,
38579,82394,,16077,18,
38579,83904,,14000,18,
38579,78199,,7184,18,
38579,55886,,6936,18,
38579,67118,,11097,18,
38579,31124,,861,18,
38579,55138,,11377,18,
38579,2400,,2960,18,
38580,63986,,12913,18,
38580,2882,,8997,18,
38580,36397,,4380,18,
38580,8009,,11088,18,
38580,70122,,12902,18,
38580,10509,,7592,18,
38580,20123,,4488,18,
38580,40057,,16296,18,
38580,43136,,5671,18,
38580,36311,,8049,18,
38580,11373,,3722,18,
38580,58980,,7369,18,
38580,41803,,663,18,
38580,77406,,13454,18,
38580,84772,,12117,18,
